date,description,debit,credit
2017-01-25,TRANSACTION 1,739,842
2017-01-24,TRANSACTION 2,47,961
2017-01-24,TRANSACTION 3,93,846
2017-01-24,TRANSACTION 4,363,787
2017-01-23,TRANSACTION 5,196,832
2017-01-23,TRANSACTION 6,391,490
2017-01-23,TRANSACTION 7,504,982
2017-01-23,TRANSACTION 8,533,680
2017-01-23,TRANSACTION 9,287,476
2017-01-20,TRANSACTION 10,256,926
2017-01-20,TRANSACTION 11,465,967
2017-01-18,TRANSACTION 12,157,698
2017-01-18,TRANSACTION 13,667,840
2017-01-16,TRANSACTION 14,148,498
2017-01-16,TRANSACTION 15,898,859
2017-01-16,TRANSACTION 16,90,859
2017-01-16,TRANSACTION 17,409,977
2017-01-16,TRANSACTION 18,291,415
2017-01-06,TRANSACTION 19,612,850
2017-01-06,TRANSACTION 20,765,892
2017-01-05,TRANSACTION 21,178,891
2017-01-03,TRANSACTION 22,778,803
2017-01-03,TRANSACTION 23,475,436
2016-12-30,TRANSACTION 24,604,782
2016-12-30,TRANSACTION 25,530,545
2016-12-28,TRANSACTION 26,21,788
2016-12-28,TRANSACTION 27,107,576
2016-12-28,TRANSACTION 28,445,498
2016-12-28,TRANSACTION 29,847,832
2016-12-28,TRANSACTION 30,49,469
2016-12-28,TRANSACTION 31,294,573
2016-12-28,TRANSACTION 32,230,520
2016-12-23,TRANSACTION 33,922,593
2016-12-23,TRANSACTION 34,110,880
2016-12-23,TRANSACTION 35,204,897
2016-12-23,TRANSACTION 36,627,730
2016-12-21,TRANSACTION 37,481,441
2016-12-21,TRANSACTION 38,388,837
2016-12-21,TRANSACTION 39,199,836
2016-12-20,TRANSACTION 40,741,831
2016-12-20,TRANSACTION 41,464,571
2016-12-19,TRANSACTION 42,749,614
2016-12-19,TRANSACTION 43,943,813
2016-12-19,TRANSACTION 44,22,516
2016-12-19,TRANSACTION 45,106,924
2016-12-19,TRANSACTION 46,840,433
2016-12-19,TRANSACTION 47,967,439
2016-12-19,TRANSACTION 48,651,448
2016-12-19,TRANSACTION 49,701,861
2016-12-19,TRANSACTION 50,147,987
2016-12-16,TRANSACTION 51,625,436
2016-12-14,TRANSACTION 52,46,921
2016-12-13,TRANSACTION 53,681,539
2016-12-13,TRANSACTION 54,592,752
2016-12-12,TRANSACTION 55,370,608
2016-12-09,TRANSACTION 56,682,515
2016-12-09,TRANSACTION 57,732,623
2016-12-09,TRANSACTION 58,262,859
2016-12-09,TRANSACTION 59,623,705
2016-12-09,TRANSACTION 60,880,888
2016-12-08,TRANSACTION 61,441,519
2016-12-08,TRANSACTION 62,548,630
2016-12-08,TRANSACTION 63,469,755
2016-12-07,TRANSACTION 64,570,989
2016-12-07,TRANSACTION 65,989,810
2016-12-06,TRANSACTION 66,768,772
2016-12-06,TRANSACTION 67,860,794
2016-12-06,TRANSACTION 68,986,994
2016-12-05,TRANSACTION 69,802,822
2016-12-05,TRANSACTION 70,539,663
2016-12-05,TRANSACTION 71,249,780
2016-12-05,TRANSACTION 72,373,636
2016-12-05,TRANSACTION 73,281,822
2016-12-05,TRANSACTION 74,357,612
2016-12-05,TRANSACTION 75,961,767
2016-12-05,TRANSACTION 76,673,785
2016-12-05,TRANSACTION 77,839,622
2016-12-05,TRANSACTION 78,859,770
2016-12-02,TRANSACTION 79,363,641
2016-11-30,TRANSACTION 80,952,575
2016-11-30,TRANSACTION 81,464,601
2016-11-30,TRANSACTION 82,790,618
2016-11-30,TRANSACTION 83,732,845
2016-11-30,TRANSACTION 84,794,668
2016-11-30,TRANSACTION 85,356,516
2016-11-28,TRANSACTION 86,197,885
2016-11-28,TRANSACTION 87,409,499
2016-11-28,TRANSACTION 88,931,867
2016-11-28,TRANSACTION 89,454,891
2016-11-28,TRANSACTION 90,216,980
2016-11-28,TRANSACTION 91,45,580
2016-11-28,TRANSACTION 92,772,687
2016-11-28,TRANSACTION 93,200,490
2016-11-28,TRANSACTION 94,525,957
2016-11-28,TRANSACTION 95,909,476
2016-11-28,TRANSACTION 96,193,933
2016-11-25,TRANSACTION 97,278,775
2016-11-25,TRANSACTION 98,759,749
2016-11-25,TRANSACTION 99,603,860
2016-11-24,TRANSACTION 100,564,792
2016-11-23,TRANSACTION 101,816,572
2016-11-23,TRANSACTION 102,313,905
2016-11-22,TRANSACTION 103,432,717
2016-11-21,TRANSACTION 104,723,677
2016-11-21,TRANSACTION 105,813,424
2016-11-18,TRANSACTION 106,116,809
2016-11-17,TRANSACTION 107,754,784
2016-11-16,TRANSACTION 108,311,767
2016-11-16,TRANSACTION 109,808,702
2016-11-15,TRANSACTION 110,841,635
2016-11-14,TRANSACTION 111,93,894
2016-11-14,TRANSACTION 112,321,556
2016-11-14,TRANSACTION 113,503,983
2016-11-14,TRANSACTION 114,196,416
2016-11-14,TRANSACTION 115,934,528
2016-11-14,TRANSACTION 116,495,888
2016-11-14,TRANSACTION 117,63,687
2016-11-14,TRANSACTION 118,482,922
2016-11-10,TRANSACTION 119,76,666
2016-11-10,TRANSACTION 120,846,548
2016-11-08,TRANSACTION 121,256,425
2016-11-08,TRANSACTION 122,151,477
2016-11-08,TRANSACTION 123,117,643
2016-11-07,TRANSACTION 124,591,422
2016-11-07,TRANSACTION 125,163,864
2016-11-07,TRANSACTION 126,632,476
2016-11-04,TRANSACTION 127,990,841
2016-11-04,TRANSACTION 128,503,915
2016-11-03,TRANSACTION 129,381,566
2016-11-01,TRANSACTION 130,707,491
2016-11-01,TRANSACTION 131,808,853
2016-11-01,TRANSACTION 132,857,745
2016-10-31,TRANSACTION 133,376,752
2016-10-31,TRANSACTION 134,601,451
2016-10-31,TRANSACTION 135,292,645
2016-10-31,TRANSACTION 136,333,983
2016-10-31,TRANSACTION 137,126,662
2016-10-31,TRANSACTION 138,112,760
2016-10-31,TRANSACTION 139,652,939
2016-10-31,TRANSACTION 140,485,495
2016-10-28,TRANSACTION 141,707,877
2016-10-28,TRANSACTION 142,598,783
2016-10-28,TRANSACTION 143,524,658
2016-10-27,TRANSACTION 144,498,886
2016-10-27,TRANSACTION 145,268,434
2016-10-26,TRANSACTION 146,24,869
2016-10-25,TRANSACTION 147,496,870
2016-10-25,TRANSACTION 148,528,856
2016-10-25,TRANSACTION 149,946,669
2016-10-25,TRANSACTION 150,212,531
